Model,FD001_Score,FD002_Score,FD003_Score,FD004_Score
SVR,99.77833884525548,99.96037146714903,99.87711789945715,100.10011276561148
LSTM,99.42164092184836,100.46005698923086,99.45142073076356,99.75137335600645
TCN,99.89519942118335,99.5846616943873,99.87403738516338,99.45264149509124
Transformer,100.99820536847636,98.58046783412564,101.00993018451885,99.15341370984987
