,Clean_RMSE,Noisy_RMSE,Degradation_Percent,Prediction_Correlation,Noise_Level,Robustness_Score
SVR,9.516816488407574,9.537911573730696,0.2216611547445269,0.9999476660142099,0.01,99.77833884525548
LSTM,6.582659709275645,6.620731119288071,0.5783590781516423,0.9999614276721657,0.01,99.42164092184836
TCN,4.419264793542444,4.423896208625517,0.1048005788166436,0.9999519780910134,0.01,99.89519942118335
Transformer,5.653067972341377,5.596638744357848,-0.998205368476362,0.9999403462856333,0.01,100.99820536847636
