,Clean_RMSE,Noisy_RMSE,Degradation_Percent,Prediction_Correlation,Noise_Level,Robustness_Score
SVR,9.427953124194605,9.41851453958142,-0.10011276561148579,0.9999479819547414,0.01,100.10011276561148
LSTM,6.51945027868209,6.535659369116805,0.24862664399353962,0.9999470822767821,0.01,99.75137335600645
TCN,5.217642589056672,5.246201799523615,0.5473585049087537,0.9999501600611672,0.01,99.45264149509124
Transformer,5.427150651246693,5.473096164605941,0.8465862901501322,0.9999558390172846,0.01,99.15341370984987
