,Clean_RMSE,Noisy_RMSE,Degradation_Percent,Prediction_Correlation,Noise_Level,Robustness_Score
SVR,9.789559080017805,9.801588695849214,0.12288210054284864,0.9999483126892692,0.01,99.87711789945715
LSTM,6.511849885422863,6.54757254393809,0.5485792692364454,0.9999611817908794,0.01,99.45142073076356
TCN,4.336440133442316,4.341902426825225,0.1259626148366236,0.9999518177232871,0.01,99.87403738516338
Transformer,5.525928806710721,5.470120783716727,-1.0099301845188546,0.9999403441554242,0.01,101.00993018451885
