,RMSE,MAE,R2,PHM_Score,Max_Error,MAPE,RMSE_CI_Lower,RMSE_CI_Upper,Mean_Error,Std_Error,Skewness,Kurtosis,Q25_Error,Q75_Error,IQR,Early_Life_RMSE,Late_Life_RMSE,Early_Life_MAE,Late_Life_MAE
SVR,9.79,7.51,0.94,130.0,33.21,17.45,8.12,11.49,-0.68,9.77,-0.62,0.96,-6.21,5.74,11.94,10.69,7.11,8.23,5.75
LSTM,6.51,5.18,0.98,68.51,16.83,13.54,5.66,7.33,-0.51,6.49,0.07,-0.14,-3.88,3.47,7.35,6.83,5.67,5.45,4.52
TCN,4.34,3.33,0.99,39.49,11.7,9.44,3.7,4.9,0.15,4.33,0.26,-0.04,-2.34,2.3,4.63,4.23,4.59,3.2,3.66
Transformer,5.53,4.63,0.98,53.56,12.62,12.03,4.92,6.09,-1.25,5.38,0.11,-0.82,-6.03,2.56,8.59,5.36,5.92,4.46,5.04
