,Clean_RMSE,Noisy_RMSE,Degradation_Percent,Prediction_Correlation,Noise_Level,Robustness_Score
SVR,9.65774581771294,9.661573040686974,0.03962853285096466,0.999950574020109,0.01,99.96037146714903
LSTM,6.557700621141959,6.527531461101559,-0.4600569892308659,0.9999451821124428,0.01,100.46005698923086
TCN,5.181287408648493,5.202807279980498,0.41533830561270885,0.9999535225313557,0.01,99.5846616943873
Transformer,5.47297342684232,5.550664045066103,1.4195321658743583,0.9999502641487513,0.01,98.58046783412564
