,RMSE,MAE,R2,PHM_Score,Max_Error,MAPE,RMSE_CI_Lower,RMSE_CI_Upper,Mean_Error,Std_Error,Skewness,Kurtosis,Q25_Error,Q75_Error,IQR,Early_Life_RMSE,Late_Life_RMSE,Early_Life_MAE,Late_Life_MAE
SVR,9.52,7.35,0.95,125.14,33.21,19.9,7.95,11.17,-0.53,9.5,-0.56,1.0,-6.21,5.74,11.94,9.72,9.09,7.2,7.67
LSTM,6.58,5.22,0.97,69.28,16.83,13.94,5.69,7.44,-0.55,6.56,0.02,-0.08,-3.88,3.47,7.35,6.48,6.79,5.15,5.35
TCN,4.42,3.37,0.99,40.11,11.7,8.66,3.73,5.0,0.11,4.42,0.15,0.08,-2.34,2.3,4.63,4.33,4.6,3.29,3.53
Transformer,5.65,4.69,0.98,54.74,15.5,12.35,4.98,6.34,-1.32,5.5,0.01,-0.64,-6.14,2.56,8.71,5.71,5.53,4.7,4.68
