,RMSE,MAE,R2,PHM_Score,Max_Error,MAPE,RMSE_CI_Lower,RMSE_CI_Upper,Mean_Error,Std_Error,Skewness,Kurtosis,Q25_Error,Q75_Error,IQR,Early_Life_RMSE,Late_Life_RMSE,Early_Life_MAE,Late_Life_MAE
SVR,9.43,7.55,0.97,316.21,33.21,19.91,8.61,10.32,-0.18,9.43,-0.11,0.21,-6.49,6.26,12.75,9.34,9.61,7.29,8.09
LSTM,6.52,5.17,0.99,173.83,16.88,13.32,5.99,7.1,0.19,6.52,-0.13,-0.05,-3.5,4.58,8.08,6.66,6.21,5.25,5.0
TCN,5.22,4.15,0.99,126.61,17.82,11.53,4.76,5.66,0.12,5.22,-0.16,-0.04,-3.2,3.56,6.76,5.14,5.38,4.12,4.22
Transformer,5.43,4.46,0.99,133.47,15.5,12.7,5.02,5.85,-0.31,5.42,-0.1,-0.48,-4.8,3.65,8.45,5.18,5.91,4.29,4.82
